time_sec,target_rpm,rl_rpm,rr_rpm,fr_rpm,rl_pwm,rr_pwm,fr_pwm,fl_pwm
1773033317.947,100,0.0,0.0,0.0,15.4,15.4,15.4,15.4
1773033317.998,100,0.0,0.0,0.0,15.8,15.8,15.8,15.8
1773033318.050,100,0.0,0.0,0.0,16.2,16.2,16.2,16.2
1773033318.102,100,0.0,0.0,0.0,16.6,16.6,16.6,16.6
1773033318.153,100,0.0,0.0,0.0,17.0,17.0,17.0,17.0
1773033318.205,100,0.0,0.0,0.0,17.4,17.4,17.4,17.4
1773033318.256,100,0.0,0.0,0.0,17.8,17.8,17.8,17.8
1773033318.307,100,0.0,0.0,0.0,18.2,18.2,18.2,18.2
1773033318.358,100,0.0,0.0,0.0,18.6,18.6,18.6,18.6
1773033318.409,100,0.0,0.0,0.0,19.0,19.0,19.0,19.0
1773033318.460,100,0.0,0.0,0.0,19.4,19.4,19.4,19.4
1773033318.512,100,0.0,0.0,0.0,19.8,19.8,19.8,19.8
1773033318.563,100,0.0,0.0,0.0,20.2,20.2,20.2,20.2
1773033318.614,100,0.0,0.0,0.0,20.6,20.6,20.6,20.6
1773033318.666,100,0.0,0.0,0.0,21.0,21.0,21.0,21.0
1773033318.717,100,0.0,0.0,0.0,21.4,21.4,21.4,21.4
1773033318.768,100,0.0,0.0,0.0,21.8,21.8,21.8,21.8
1773033318.819,100,0.0,0.0,0.0,22.2,22.2,22.2,22.2
1773033318.870,100,0.0,0.0,0.0,22.6,22.6,22.6,22.6
1773033318.922,100,0.0,0.0,0.0,23.0,23.0,23.0,23.0
1773033318.973,100,0.0,0.0,0.0,23.4,23.4,23.4,23.4
1773033319.024,100,0.0,0.0,0.0,23.8,23.8,23.8,23.8
1773033319.075,100,0.0,0.0,0.0,24.2,24.2,24.2,24.2
1773033319.127,100,0.0,0.0,0.0,24.6,24.6,24.6,24.6
1773033319.178,100,0.0,0.0,0.0,25.0,25.0,25.0,25.0
1773033319.229,100,0.0,0.0,0.0,25.4,25.4,25.4,25.4
1773033319.281,100,0.0,0.0,0.0,25.8,25.8,25.8,25.8
1773033319.332,100,0.0,0.0,0.0,26.2,26.2,26.2,26.2
1773033319.383,100,0.0,0.0,0.0,26.6,26.6,26.6,26.6
1773033319.434,100,0.0,0.0,0.0,27.0,27.0,27.0,27.0
1773033319.485,100,0.0,0.0,0.0,27.4,27.4,27.4,27.4
1773033319.537,100,0.0,0.0,0.0,27.8,27.8,27.8,27.8
1773033319.588,100,0.0,0.0,0.0,28.2,28.2,28.2,28.2
1773033319.639,100,0.0,0.0,0.0,28.6,28.6,28.6,28.6
1773033319.690,100,0.0,0.0,0.0,29.0,29.0,29.0,29.0
1773033319.742,100,0.0,0.0,0.0,29.4,29.4,29.4,29.4
1773033319.793,100,0.0,0.0,0.0,29.8,29.8,29.8,29.8
1773033319.844,100,0.0,0.0,0.0,30.2,30.2,30.2,30.2
1773033319.895,100,0.0,0.0,0.0,30.6,30.6,30.6,30.6
1773033319.947,100,0.0,0.0,0.0,31.0,31.0,31.0,31.0
1773033319.998,100,0.0,0.0,0.0,31.4,31.4,31.4,31.4
1773033320.050,100,0.0,0.0,0.0,31.8,31.8,31.8,31.8
1773033320.101,100,0.0,0.0,0.0,32.2,32.2,32.2,32.2
1773033320.152,100,0.0,0.0,0.0,32.6,32.6,32.6,32.6
1773033320.203,100,0.0,0.0,0.0,33.0,33.0,33.0,33.0
1773033320.254,100,0.0,0.0,0.0,33.4,33.4,33.4,33.4
1773033320.305,100,0.0,0.0,0.0,33.8,33.8,33.8,33.8
1773033320.357,100,0.0,0.0,0.0,34.2,34.2,34.2,34.2
1773033320.408,100,0.0,0.0,0.0,34.6,34.6,34.6,34.6
1773033320.459,100,0.0,0.0,0.0,35.0,35.0,35.0,35.0
1773033320.510,100,0.0,0.0,0.0,35.4,35.4,35.4,35.4
1773033320.561,100,0.0,0.0,0.0,35.8,35.8,35.8,35.8
1773033320.613,100,0.0,0.0,0.0,36.2,36.2,36.2,36.2
1773033320.664,100,0.0,0.0,0.0,36.6,36.6,36.6,36.6
1773033320.715,100,0.0,0.0,0.0,37.0,37.0,37.0,37.0
1773033320.766,100,0.0,0.0,0.0,37.4,37.4,37.4,37.4
1773033320.817,100,0.0,0.0,0.0,37.8,37.8,37.8,37.8
1773033320.869,100,0.0,0.0,0.0,38.2,38.2,38.2,38.2
1773033320.920,100,0.0,0.0,0.0,38.6,38.6,38.6,38.6
1773033320.971,100,0.0,0.0,0.0,39.0,39.0,39.0,39.0
1773033321.022,100,0.0,0.0,0.0,39.4,39.4,39.4,39.4
1773033321.073,100,0.0,0.0,0.0,39.8,39.8,39.8,39.8
1773033321.125,100,0.0,0.0,0.0,40.2,40.2,40.2,40.2
1773033321.177,100,0.0,0.0,0.0,40.6,40.6,40.6,40.6
1773033321.228,100,0.0,0.0,0.0,41.0,41.0,41.0,41.0
1773033321.279,100,0.0,0.0,0.0,41.4,41.4,41.4,41.4
1773033321.330,100,0.0,0.0,0.0,41.8,41.8,41.8,41.8
1773033321.381,100,0.0,0.0,0.0,42.2,42.2,42.2,42.2
1773033321.433,100,0.0,0.0,0.0,42.6,42.6,42.6,42.6
