elapsed_s,tick,event,wp_idx,wp_total,wp_target_x,wp_target_y,pos_x,pos_y,heading_deg,v_linear,v_angular,dist_to_wp,desired_hdg,hdg_error,steer_deg,steer_pw,cmd_speed,rpm_l,rpm_r,enc_l,enc_r,duty_l,duty_r,gyro_z,accel_x,accel_y,mag_x,mag_y,compass_deg,laser_mm,temp_c,batt_adc,stuck_count,moved_cm,note
3.468,68,NAV,14,18,0.4354,-0.6368,0.1413,-0.7306,126.9,0.3138,0.4468,0.3087,17.7,-109.2,-35.0,940,40,158.9,0.0,20002,1,47.0,47.0,78.69,0.006,0.001,0,-0,127.5,-1,21.0,912.2,0,0.00,applied=40 spinning=True
3.575,70,WP_BEHIND_SKIP,14,18,0.4354,-0.6368,0.1203,-0.7034,133.9,0.3100,0.2600,0.3222,11.9,-121.9,0.0,1440,0,157.4,0.0,20116,1,41.0,41.0,61.02,-0.102,0.008,0,-0,134.1,-1,21.0,932.0,0,0.00,hdg_err=-122_skip
3.581,70,WP_TIMEOUT,14,18,0.4354,-0.6368,0.1203,-0.7034,133.9,0.3100,0.2600,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,max_ticks=600 stuck=0
3.590,70,WP_START,15,18,0.6003,-0.3756,0.1203,-0.7034,133.9,0.3100,0.2600,0.5813,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,arrive_tol=0.200 final=False
3.591,71,NAV,15,18,0.6003,-0.3756,0.1203,-0.7034,133.9,0.3100,0.2600,0.5813,34.3,-99.5,-35.0,940,40,157.4,0.0,20116,1,41.0,41.0,61.02,-0.102,0.008,0,-0,134.1,-1,21.0,932.0,0,0.00,applied=40 spinning=True
3.642,72,NAV,15,18,0.6003,-0.3756,0.1120,-0.6949,134.1,0.3093,0.2461,0.5834,33.2,-101.0,-35.0,940,40,157.4,0.0,20116,1,41.0,41.0,61.02,-0.102,0.008,0,-0,134.1,-1,21.0,932.0,0,0.00,applied=40 spinning=True
3.701,73,NAV,15,18,0.6003,-0.3756,0.0964,-0.6786,134.2,0.3091,0.2455,0.5880,31.0,-103.1,-35.0,940,40,157.4,0.0,20116,1,41.0,41.0,61.02,-0.102,0.008,0,-0,134.1,-1,21.0,932.0,0,0.00,applied=40 spinning=True
3.764,74,NAV,15,18,0.6003,-0.3756,0.0881,-0.6706,137.8,0.2967,-0.3969,0.5911,29.9,-107.9,-35.0,940,40,148.4,0.0,20216,1,40.0,40.0,-6.47,0.506,0.016,0,-0,138.0,-1,21.0,940.0,0,0.00,applied=40 spinning=True
3.833,75,NAV,15,18,0.6003,-0.3756,0.0723,-0.6565,138.0,0.2919,-0.4048,0.5981,28.0,-110.0,-35.0,940,40,148.4,0.0,20216,1,40.0,40.0,-6.47,0.506,0.016,0,-0,138.0,-1,21.0,940.0,0,0.00,applied=40 spinning=True
4.172,81,NAV,15,18,0.6003,-0.3756,0.0344,-0.6024,108.7,0.1929,-0.9442,0.6097,21.8,-86.9,-35.0,940,40,97.7,0.0,20407,1,40.0,40.0,-72.26,0.383,0.165,0,-0,108.8,-1,21.0,945.4,0,0.00,applied=40 spinning=True
