timestamp,pico_timestamp_ms,frame,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,raw_field_norm,accel_norm
1774623334.806327,9956872,88583,-0.106000000,-0.056700000,0.305300000,-0.062000000,0.010000000,-1.781000000,31.270000000,4.430000000,32.270000000,0.328114279,1.782106899
1774623334.911171,9956977,88584,-0.128700000,-0.100000000,0.306000000,0.001000000,0.000000000,-0.980000000,8.500000000,62.550000000,39.240000000,0.346698269,0.980000510
1774623335.016760,9957085,88585,-0.161700000,-0.131700000,0.297300000,0.004000000,0.000000000,-0.999000000,62.530000000,3.920000000,47.940000000,0.363151580,0.999008008
1774623335.127316,9957192,88586,-0.193300000,-0.129000000,0.295000000,0.033000000,0.072000000,-1.874000000,62.780000000,11.730000000,50.820000000,0.375540797,1.875672946
1774623335.229892,9957298,88587,-0.218700000,-0.100000000,0.280300000,0.074000000,0.042000000,-0.903000000,16.370000000,4.170000000,32.120000000,0.369320701,0.907000000
1774623335.337273,9957404,88588,-0.241000000,-0.060000000,0.262000000,0.012000000,0.008000000,-0.952000000,15.820000000,3.910000000,35.200000000,0.361005540,0.952109237
1774623335.442097,9957508,88589,-0.255300000,-0.002300000,0.230000000,0.000000000,0.016000000,-0.925000000,16.440000000,4.060000000,35.310000000,0.343632624,0.925138368
1774623335.552463,9957615,88590,-0.251000000,0.055700000,0.197000000,0.043000000,0.105000000,-0.906000000,8.560000000,0.000000000,39.080000000,0.323901976,0.913077215
1774623335.655899,9957722,88591,-0.238700000,0.102300000,0.171000000,-0.062000000,0.067000000,-0.935000000,10.020000000,8.260000000,32.200000000,0.310940477,0.939445581
1774623335.762101,9957828,88592,-0.212000000,0.141700000,0.157300000,0.032000000,0.065000000,-0.938000000,7.390000000,0.000000000,0.240000000,0.299610047,0.940793814
1774623335.868723,9957935,88593,-0.179000000,0.165000000,0.147000000,0.032000000,0.142000000,-1.858000000,7.880000000,6.840000000,0.890000000,0.284385302,1.863693108
1774623335.976059,9958042,88594,-0.164000000,0.195000000,0.129300000,0.086000000,0.000000000,-0.992000000,7.850000000,0.000000000,-31.270000000,0.285726250,0.995720844
1774623336.082272,9958148,88595,-0.158700000,0.200000000,0.111700000,0.004000000,0.023000000,-1.000000000,16.370000000,2.950000000,-30.530000000,0.278680067,1.000272463
1774623336.188018,9958253,88596,-0.149300000,0.185700000,0.134000000,0.440000000,0.010000000,-0.922000000,2.960000000,0.010000000,-15.610000000,0.273369676,1.021657477
1774623336.291799,9958358,88597,-0.125300000,0.166700000,0.176000000,0.011000000,0.009000000,-0.902000000,4.100000000,0.000000000,-7.270000000,0.272882722,0.902111966
