timestamp,dt_ms,laser_front_cm,sonar_rear_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,status_msg
1772262561.4291637,,999,76.6,False,False,-0.012,-0.003,1.009,1.009,-0.18,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262561.694464,,999,76.6,False,False,0.012,0.004,0.99,0.99,0.19,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262561.9589374,,999,76.6,False,False,0.002,0.005,1.022,1.022,-0.21,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262562.2171803,,999,76.1,False,False,-0.012,0.005,1.004,1.004,-0.04,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262562.4827876,,999,76.6,False,False,-0.048,-0.011,1.099,1.1,0.42,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262562.7472615,,999,77.0,False,False,-0.013,-0.009,1.047,1.047,0.4,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262563.0056167,,999,76.6,False,False,-0.033,0.019,1.044,1.045,-0.14,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262563.271017,,999,76.6,False,False,-0.062,-0.003,1.139,1.141,0.09,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262563.5363648,,999,77.0,False,False,-0.007,0.006,0.965,0.965,0.21,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262563.796033,,999,82.4,False,False,-0.054,-0.013,1.109,1.111,0.29,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262564.060705,,999,77.0,False,False,-0.024,-0.016,1.101,1.102,-0.16,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262564.3262324,,999,76.6,False,False,0.015,-0.018,0.976,0.976,-0.08,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262564.585259,,999,76.6,False,False,-0.079,0.005,1.149,1.152,-0.11,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262564.850114,,999,77.0,False,False,0.016,0.014,0.99,0.99,-0.29,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262565.1151125,,999,76.6,False,False,-0.003,0.003,0.996,0.996,-0.09,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262565.3743873,,999,77.0,False,False,-0.018,0.001,1.078,1.078,-0.41,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262565.6389308,,999,77.0,False,False,0.022,-0.005,0.965,0.965,-0.15,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262565.903643,,999,77.0,False,False,0.016,-0.005,0.968,0.968,0.5,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262566.1619978,,999,77.0,False,False,-0.01,0.001,1.043,1.043,-0.11,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262566.4274144,,999,76.6,False,False,0.027,-0.011,0.954,0.955,-0.07,0.0,12.21,5.83,,,,,,,,,,,,,,,,
